Emitente;Nome fantasia emitente;Nota;Série;Modelo;Total Nota;Data emissão;Data vencimento;Ctrle;Unidade;Nome unidade;Unidade autorização;Nome unidade autorização;Centro atividade;Nome centro atividade;Situação;Situação;Nome usuário;Data inclusão;Observações;Observações CSC;Data autorização;Observações autorização;Data ult sit fechada;Autorizador;LANCAMENTO TESF0028
49172605/0001-59;THOMAZ & BARONI MONTAGENS ( T&B);200;;;4.240,00;05/01/2026;05/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;AGUARDANDO AUTORIZAÇÃO;Solicitação aguardando autorização de:  CRISTIANO RODEGHIERO MOREIRA | ADRIANO TOMALOK | VANESSA CORREA DE MORAES MARTINI | ;CAMILA RAMOS;07/01/2026;"SOLDAS SANITÁRIAS EM ESTRUTURAS DEEQUIPAMENTOS DO SETOR DE EMBALAGEM PRIMÁRIA INDÚSTRIA E INDUSTRIALIZADOS, SETOR DE EMBUT-COZIDOS E SETOR DE PRESUMTARIA.;;08/01/2026;;;;
00869496/0001-34;METALURGICA BALENA;19846;S;99;17.000,00;05/01/2026;19/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;CAMILA RAMOS;07/01/2026;MAO DE OBRA PARA ADEQUAÇÃO EM TRÊS LIMPADORES DE PÉS SENDO REDUÇÃO DA BANDEJA, ALTERAR POSIÇÃO DOS PÉS E BACIA DE COLETA DE ESGOTO. REALIZAR CORTE E SOLDA DA ESTRUTURA PARA DEIXAR O QUADRO DE COMANDO NO MENOR ESPAÇO PSOSSIVEL.  RETIRAR O QUADRO SUPORTE PARA BACIAS DE MONOBLOCO CONFORME SOLICITADO PARA VIABILIZAR ESPAÇO NO SETOR.REALIZAR ACABAMENTO COM JATEAMENTO NO INOX. SERVIÇO A SER EXECUTADO FORA DA UNIDADE. """;;07/01/2026;;07/01/2026 09:05;CRISTIANO RODEGHIERO MOREIRA;
00869496/0001-34;METALURGICA BALENA;19847;S;99;10.200,00;05/01/2026;19/02/2026;2;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;CAMILA RAMOS;07/01/2026;SERVIÇO DE MANUTENÇÃO E ADEQUAÇÃO DA ESTEIRA QUE ESTAVA NO DEPÓSITO PARA COLOCAÇÃO NA SALA DE LIMPEZA DE PÉS. REVISAR MANCAIS E REDUZIR COMPRIMENTO PARA 3.000 MM. REALIZAR REPARO NOS PÉS DA ESTEIRA E ADEQUAR PARA ALTURA ERGONÔMICA DE 900 MM. REALIZAR AJUSTE NOS ROLOS DE TRAÇÃO DA ESTEIRA E SEPARAÇÃO DA FITA REMOVENDO AS PARTES DE BORRACHA. REALIZAR JATEAMENTO DA ESTRUTURA APÓS ADEQUAÇÕES. SERVIÇO A SER EXECUTADO FORA DA UNIDADE;;07/01/2026;;07/01/2026 09:10;CRISTIANO RODEGHIERO MOREIRA;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3225;S;99;1.995,00;01/01/2026;25/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;07/01/2026;TORNO - USINAGEM EM FLANGES PARA TUBULAÇÃO ACELERADOR VÁCUO VC999;;09/01/2026;;09/01/2026 16:09;VANESSA CORREA DE MORAES MARTINI;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3224;S;99;10.695,00;01/01/2026;25/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;07/01/2026;TORNO - USINAGEM ROLO DE APOIO DAS ESTEIRAS DE ALIMENTACÃO DE CAVACO DA CALDEIRA.;;09/01/2026;;09/01/2026 16:19;VANESSA CORREA DE MORAES MARTINI;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3221;S;99;807,5;01/01/2026;25/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;07/01/2026;TORNO - USINAGEM EM PLACA DE SELAGEM MULTIVAC CA:5345 USO(242).;;09/01/2026;;09/01/2026 16:12;VANESSA CORREA DE MORAES MARTINI;
00869496/0001-34;METALURGICA BALENA;19814;S;99;21.585,64;02/01/2026;16/02/2026;5;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:29 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;CAMILA RAMOS;07/01/2026;CONSERTO DE 102 CARRETILHAS, TROCA DE GANCHOS, TROCA DE ROLDANAS E TROCA DE PINOS. GANCHOS, ROLDANAS E PINOS FORNECIDOS PELA AURORA.;;07/01/2026;;07/01/2026 09:13;CRISTIANO RODEGHIERO MOREIRA;
08283039/0001-75;MECANICA INDUSTRIAL VELOTANO;3222;S;99;2.546,00;01/01/2026;25/01/2026;6;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 09/01/2026 12:00:00 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 09/01/2026;CAMILA RAMOS;07/01/2026;TORNO - USINAGEM EM PLACA DE SELAGEM;;09/01/2026;;09/01/2026 16:16;VANESSA CORREA DE MORAES MARTINI;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19925;1;55;1.054,21;06/01/2026;20/02/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A629924, NA DATA 26/11/2025;;07/01/2026;;07/01/2026 14:19;CRISTIANO RODEGHIERO MOREIRA;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19926;1;55;389,04;06/01/2026;20/02/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A629925, NA DATA 28/11/2025;;07/01/2026;;07/01/2026 08:51;CRISTIANO RODEGHIERO MOREIRA;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19927;1;55;389,04;06/01/2026;20/02/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A629924, NA DATA 27/11/2025;;07/01/2026;;07/01/2026 08:54;CRISTIANO RODEGHIERO MOREIRA;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19928;1;55;4.550,38;06/01/2026;20/02/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 7A253196, NA DATA 24/11/2025 , CONFORME ORÇAMENTO 62581;;07/01/2026;;07/01/2026 14:22;CRISTIANO RODEGHIERO MOREIRA;
01341776/0011-00;MERCOSUL LINE NAVEGACAO E LOGISTICA LTDA;66753;3;57;9.347,22;28/11/2025;16/01/2026;39;92;FAC;28;U.V. RECIFE/CB.ST.AG;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: MICHAEL DUARTE DA LUZ em: 07/01/2026 10:43:03 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;JEVSON JOSE ALVES FEITOSA;06/01/2026;REFERENTE A CARGA  14215105 NF 041400 NF 041401;;07/01/2026;Observação do autorizador: VALIDADO;07/01/2026 14:01;MICHAEL DUARTE DA LUZ;
13938390/0005-10;CROWN LIFT TRUCKS DO BRASIL;19934;1;55;2.217,43;06/01/2026;20/02/2026;0;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:27 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;MANUTENÇÃO REALIZADA NO EQUIPAMENTO 5A832507, NA DATA 12/12/2025 , CONFORME ORÇAMENTO 63340;;07/01/2026;;07/01/2026 14:15;CRISTIANO RODEGHIERO MOREIRA;
76174911/0001-05;ELETROMOTOR;8418;S;99;721;02/01/2026;30/01/2026;4;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 07/01/2026 07:54:28 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;FELIPE LOPES CANALLI;06/01/2026;MOTOR DO VENTILADOR FUMEIRO OS 95720;;07/01/2026;;07/01/2026 10:17;CRISTIANO RODEGHIERO MOREIRA;
58169490/0001-34;THDS;45;S;99;67.802,40;02/01/2026;02/02/2026;4;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 08/01/2026 11:12:37 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 08/01/2026;FRANCILEI SOUZA ALVES;06/01/2026;REALIZAR A SUBSTITUIÇÃO DE APROXIMADAMENTE 48 METROS DE TUBULAÇÃO DE 4¿, 48 METROS DE TUBULAÇÃO DE 3¿, 48 METROS DE TUBULAÇÃO DE 2¿, 20 METROS DE TUBULAÇÃO DE 1¿, 20 METROS DE TUBULAÇÃO DE ¾¿ E 20 METROS DE TUBULAÇÃO DE ½¿ (MEDIDAS APROXIMADAS), SUBSTITUIÇÃO DE TUBULAÇÃO DE AÇO CARBONO POR TUBOS DE INOX.;;08/01/2026;;08/01/2026 13:56;CRISTIANO RODEGHIERO MOREIRA;
00428307/0012-40;EXPRESSO SAO MIGUEL S/A;192173;11;57;120;05/01/2026;26/01/2026;1;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 06/01/2026 11:59:15 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 06/01/2026;ADRIANA APARECIDA DOS SANTOS;06/01/2026;REFERENTE ENVIO DE ÁGUA PARA ANÁLISE;;06/01/2026;;06/01/2026 13:17;VANESSA CORREA DE MORAES MARTINI;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;104373;59;57;1.827,96;18/12/2025;18/01/2026;18;92;FAC;69;U.V. FORTALEZA;1902;OPERACIONAL;LANÇADA;Solicitação autorizada por: MARIA ERIVANILDA DA SILVA MONTEIRO em: 07/01/2026 10:57:05 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;JOAO VICTOR MARTINS DA SILVA;05/01/2026; CUSTO EXTRA DE ESTADIA - CONTAINER DE Nº MEDU9664997 - (NFS  39037 / 39038  - CARGA: 14076429) FRETE DA LOG-IN - CTE COMPLEMENTAR 98274 - UNID ORIGEM 92 ;;07/01/2026;;07/01/2026 13:44;MARIA ERIVANILDA DA SILVA MONTEIRO;
42278291/0035-73;LOG-IN - LOGISTICA INTERMODAL S/A;101308;59;57;9.904,61;12/11/2025;10/01/2026;54;92;FAC;69;U.V. FORTALEZA;698;LOGISTICA SECUNDARIA A;LANÇADA;Solicitação autorizada por: MARIA ERIVANILDA DA SILVA MONTEIRO em: 07/01/2026 10:57:08 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 07/01/2026;JOAO VICTOR MARTINS DA SILVA;05/01/2026;FRETE DE CABOTAGEM RECEBIDO NA UNIDADE-69 (FORTALEZA-CE) EM JANEIRO DE 2026, CONTAINER DE Nº  SZLU9312487 (NFS 40569 / 40570  CARGA: 14165641) ¿ LOGIN;;07/01/2026;;07/01/2026 14:10;MARIA ERIVANILDA DA SILVA MONTEIRO;
06985217/0001-84;MONTAGENS INDUSTRIAIS CHAPECO LTDA;858;1;55;50.000,00;19/12/2025;02/02/2026;17;92;FAC;92;FAC;1155;ENGENHARIA E MANUTENCAO;LANÇADA;Solicitação autorizada por: CRISTIANO RODEGHIERO MOREIRA em: 05/01/2026 17:09:27 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 06/01/2026;ADRIANA APARECIDA DOS SANTOS;05/01/2026;MÃO DE OBRA E MATERIAL AUXILIAR PARA INSTALAÇÃO DE UM EVAPORADOR PARA CÂMARA DE MATÉRIA PRIMA;;05/01/2026;;06/01/2026 14:53;CRISTIANO RODEGHIERO MOREIRA;
03176066/0001-25;BUSCH DO BRASIL LTDA;121468;2;55;54.626,52;08/12/2025;22/01/2026;28;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 05/01/2026 09:24:46 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 06/01/2026;RAFAEL SALVI DOS SANTOS;05/01/2026;;;05/01/2026;;06/01/2026 08:57;VANESSA CORREA DE MORAES MARTINI;
03176066/0001-25;BUSCH DO BRASIL LTDA;121466;2;55;39.356,93;08/12/2025;22/01/2026;28;92;FAC;92;FAC;2054;ADMINISTRACAO;LANÇADA;Solicitação autorizada por: VANESSA CORREA DE MORAES MARTINI em: 05/01/2026 09:24:46 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 05/01/2026;RAFAEL SALVI DOS SANTOS;05/01/2026;;;05/01/2026;;05/01/2026 16:33;VANESSA CORREA DE MORAES MARTINI;
81659286/0001-13;VIACAO CIDADE DE CASTRO LTDA;19218;U;99;658;31/12/2025;;2;92;FAC;16;MATRIZ;452;CSC GESTAO PESSOAS;LANÇADA;Solicitação autorizada por: PAULA FERNANDA DA SILVA GIACOMELLI em: 02/01/2026 09:01:07 Nota lançada por ADRIANA APARECIDA DOS SANTOS em: 05/01/2026;GUSTAVO NATHAN ALVES DA COSTA;02/01/2026;NF PAGA VIA ADTO 4418449;;02/01/2026;;05/01/2026 09:27;PAULA FERNANDA DA SILVA GIACOMELLI;
Unidade;Abreviatura unidade;Situação;Qtde;;;;;;;;;;;;;;;;;;;;;;
Unidade;Abreviatura unidade;Situação;Qtde;;;;;;;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;PENDENTE;1;;;;;;;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;AUTORIZADA;6;;;;;;;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;LANÇADA;47;;;;;;;;;;;;;;;;;;;;;;
92;FRIG. AURORA CASTRO;AGUARDANDO AUTORIZAÇÃO;15;;;;;;;;;;;;;;;;;;;;;;
